City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,14.9,74,100,1.79,NZ,1738873685
1,afaahiti,-17.75,-149.2833,25.89,79,36,5.99,PF,1738873686
2,nova vicosa,-17.8919,-39.3719,27.08,70,100,2.94,BR,1738873687
3,vilyuysk,63.7553,121.6247,-37.54,98,8,2.19,RU,1738873688
4,edinburgh of the seven seas,-37.0676,-12.3116,16.58,87,44,10.07,SH,1738873690
5,natchez,31.5604,-91.4032,27.12,57,0,6.17,US,1738873691
6,acapulco de juarez,16.8634,-99.8901,28.9,70,40,3.6,MX,1738873396
7,kapa'a,22.0752,-159.319,24.18,81,0,1.54,US,1738873694
8,trairi,-3.2778,-39.2689,27.2,78,48,5.8,BR,1738873696
9,la'ie,21.6477,-157.9253,24.97,78,7,1.79,US,1738873699
10,port mathurin,-19.6833,63.4167,27.74,79,13,5.07,MU,1738873701
11,ebon,4.582,168.6964,27.57,78,65,9.53,MH,1738873703
12,papatowai,-46.5619,169.4708,12.78,73,21,4.46,NZ,1738873705
13,dakhla,23.6848,-15.958,17.01,67,0,4.12,EH,1738873707
14,jatai,-17.8814,-51.7144,25.75,70,98,1.72,BR,1738873708
15,yellowknife,62.456,-114.3525,-16.71,60,100,8.75,CA,1738873709
16,wakkanai,45.4094,141.6739,1.07,81,99,12.75,JP,1738873710
17,baki,-7.6128,110.7839,23.12,96,100,1.07,ID,1738873713
18,arkhangel'sk,64.5401,40.5433,-4.94,100,100,4.0,RU,1738873714
19,port-aux-francais,-49.35,70.2167,6.06,83,100,8.75,TF,1738873716
20,iqaluit,63.7506,-68.5145,-30.15,61,20,1.03,CA,1738873717
21,praia da vitoria,38.7333,-27.0667,18.14,77,40,6.35,PT,1738873719
22,aitape,-3.1374,142.3475,25.37,87,88,1.43,PG,1738873720
23,tura,25.5198,90.2201,14.37,49,0,1.26,IN,1738873721
24,bethel,41.3712,-73.414,1.67,88,100,0.64,US,1738873723
25,bardsir,29.9227,56.5743,7.1,52,96,6.49,IR,1738873724
26,fale old settlement,-9.3852,-171.2468,28.05,78,78,7.65,TK,1738873726
27,roshal',55.6685,39.8749,-4.97,76,16,2.17,RU,1738873727
28,whitehorse,60.7161,-135.0538,-12.57,92,75,3.6,CA,1738873256
29,griffith,41.5284,-87.4237,2.19,72,40,7.72,US,1738873729
30,winnemucca,40.973,-117.7357,3.03,48,75,2.06,US,1738873730
31,margate,51.3813,1.3862,6.6,77,100,1.79,GB,1738873732
32,suva,-18.1416,178.4415,26.71,89,75,1.54,FJ,1738873733
33,isiolo,0.3546,37.5822,22.94,53,62,2.23,KE,1738873734
34,lihue,21.9789,-159.3672,23.77,73,0,1.54,US,1738873736
35,adamstown,-25.066,-130.1015,25.01,78,100,4.88,PN,1738873737
36,kerikeri,-35.2268,173.9474,18.62,72,56,1.08,NZ,1738873738
37,qarauyl,48.9451,79.255,-23.08,100,95,1.26,KZ,1738873740
38,mejit,10.2753,170.8646,26.45,75,63,6.87,MH,1738873743
39,kodiak,57.79,-152.4072,3.73,48,0,5.66,US,1738873744
40,susuman,62.7833,148.1667,-42.52,98,72,0.4,RU,1738873754
41,port lincoln,-34.7333,135.8667,18.9,73,100,6.49,AU,1738873756
42,ushuaia,-54.8,-68.3,9.81,53,75,10.8,AR,1738873757
43,tamanrasset,22.785,5.5228,17.95,24,40,2.57,DZ,1738873649
44,puerto natales,-51.7236,-72.4875,13.25,44,75,10.8,CL,1738873760
45,florence,43.7667,11.25,9.19,57,0,1.03,IT,1738873762
46,tianshui,34.5439,105.6897,-3.41,35,88,1.84,CN,1738873764
47,albany,42.6001,-73.9662,0.32,88,100,1.79,US,1738873765
48,kill devil hills,36.0307,-75.676,12.21,83,40,5.14,US,1738873770
49,kone,-21.0595,164.8658,26.05,87,95,3.79,NC,1738873772
50,parry sound,45.3501,-80.033,-4.97,86,100,5.79,CA,1738873773
51,vorgashor,67.5833,63.95,-10.26,93,100,7.94,RU,1738873774
52,saudarkrokur,65.7461,-19.6394,-0.86,87,75,12.21,IS,1738873775
53,ilulissat,69.2167,-51.1,-24.99,64,20,2.57,GL,1738873777
54,ouargla,31.9493,5.325,14.04,51,20,4.63,DZ,1738873778
55,miranda do douro,41.4969,-6.2731,4.5,72,100,1.79,PT,1738873779
56,thompson,55.7435,-97.8558,-10.91,79,100,4.12,CA,1738873781
57,grytviken,-54.2811,-36.5092,3.36,85,26,0.28,GS,1738873783
58,port alfred,-33.5906,26.891,21.21,80,100,1.79,ZA,1738873784
59,west island,-12.1568,96.8225,27.99,83,20,9.26,CC,1738873785
60,ust-nera,64.5667,143.2,-40.74,99,66,1.3,RU,1738873787
61,kununurra,-15.7667,128.7333,24.99,94,100,2.57,AU,1738873788
62,puerto baquerizo moreno,-0.9,-89.6,27.55,74,75,4.12,EC,1738873789
63,sharanga,57.1775,46.5396,-13.94,99,76,1.61,RU,1738873791
64,talnakh,69.4865,88.3972,-20.26,98,100,4.32,RU,1738873793
65,tual,-5.6667,132.75,28.27,77,100,8.62,ID,1738873794
66,chui,-33.6971,-53.4616,25.58,60,1,6.89,UY,1738873796
67,fort bragg,35.139,-79.006,22.04,61,0,4.63,US,1738873799
68,blackmans bay,-43.0167,147.3167,14.74,88,100,0.95,AU,1738873800
69,avarua,-21.2078,-159.775,28.03,89,75,5.14,CK,1738873803
70,puerto ayora,-0.7393,-90.3518,26.42,90,33,3.13,EC,1738873805
71,alta,69.9689,23.2717,5.59,65,75,5.14,NO,1738873806
72,dzuunmod,48.2199,97.3744,-24.88,89,13,2.5,MN,1738873808
73,udachny,66.4167,112.4,-22.24,100,99,1.68,RU,1738873809
74,alotau,-10.3069,150.4462,26.65,86,100,3.33,PG,1738873812
75,jamestown,42.097,-79.2353,2.23,97,100,8.23,US,1738873686
76,newman,37.3138,-121.0208,11.14,90,81,2.68,US,1738873816
77,viedma,-40.8135,-62.9967,29.58,15,0,3.39,AR,1738873817
78,san antonio de pale,-1.4014,5.6325,27.92,75,86,1.94,GQ,1738873820
79,kericho,-0.3677,35.2831,14.35,63,99,2.12,KE,1738873821
80,puerto deseado,-47.7503,-65.8938,14.99,48,62,8.99,AR,1738873823
81,ribeira grande,38.5167,-28.7,18.22,94,75,8.05,PT,1738873824
82,portage la prairie,49.9728,-98.2926,-10.95,62,40,9.26,CA,1738873825
83,road town,18.4167,-64.6167,26.02,73,40,6.17,VG,1738873826
84,el granada,37.5027,-122.4694,14.69,90,100,12.35,US,1738873828
85,wailua homesteads,22.0669,-159.378,23.44,81,0,1.54,US,1738873829
86,gadzhiyevo,69.2551,33.3362,2.97,80,100,14.71,RU,1738873831
87,longyearbyen,78.2186,15.6401,-0.09,93,100,4.63,SJ,1738873832
88,oppdal,62.5943,9.6912,-1.6,59,11,5.51,NO,1738873834
89,murun-kuren,49.6342,100.1625,-25.51,95,20,0.59,MN,1738873835
90,al mijlad,11.0333,27.7333,23.31,15,15,6.99,SD,1738873837
91,bilibino,68.0546,166.4372,-43.16,99,67,0.49,RU,1738873841
92,nadym,65.5333,72.5167,-12.73,92,100,4.79,RU,1738873842
93,san luis de la loma,17.2706,-100.8939,29.35,56,2,4.1,MX,1738873844
94,ugoofaaru,5.6667,73.0,27.84,72,7,8.69,MV,1738873846
95,laguna,38.421,-121.4238,11.7,91,100,5.66,US,1738873847
96,niksic,42.7731,18.9445,1.74,58,1,2.14,ME,1738873850
97,guerrero negro,27.9769,-114.0611,18.95,67,1,7.89,MX,1738873852
98,hwange,-18.3693,26.5019,22.59,74,14,1.32,ZW,1738873854
99,khartoum,15.5518,32.5324,24.76,15,0,8.63,SD,1738873856
100,nova sintra,14.8667,-24.7167,22.65,73,0,8.51,CV,1738873857
101,toliara,-23.35,43.6667,26.18,84,83,2.18,MG,1738873860
102,tiksi,71.6872,128.8694,-30.46,98,39,3.32,RU,1738873861
103,ampanihy,-24.7,44.75,24.2,92,73,0.83,MG,1738873862
104,nolinsk,57.5596,49.9363,-16.17,100,100,0.32,RU,1738873864
105,lerwick,60.1545,-1.1494,7.01,89,38,6.72,GB,1738873867
